ID,Name,MJD,W1mag,W1mag err,W1flux,W1flux err,W2,W2 sig,W2flux,W2flux err
2,0.167-0.446,56735.6 ,10.039 ,0.051 ,29.817 ,1.515 ,5.558 ,0.038 ,1027.520 ,38.766 
2,0.167-0.446,56917.9 ,10.097 ,0.055 ,28.253 ,1.554 ,5.423 ,0.034 ,1163.832 ,40.055 
2,0.167-0.446,57100.5 ,9.801 ,0.035 ,37.126 ,1.310 ,5.401 ,0.030 ,1187.225 ,35.956 
2,0.167-0.446,57276.7 ,10.032 ,0.063 ,30.003 ,1.894 ,5.233 ,0.047 ,1385.608 ,65.643 
2,0.167-0.446,57464.6 ,9.622 ,0.041 ,43.782 ,1.810 ,5.182 ,0.047 ,1453.194 ,68.785 
2,0.167-0.446,57636.1 ,9.809 ,0.047 ,36.833 ,1.717 ,5.343 ,0.032 ,1252.004 ,40.353 
2,0.167-0.446,57828.8 ,9.762 ,0.037 ,38.460 ,1.428 ,5.411 ,0.038 ,1176.360 ,45.143 
2,0.167-0.446,57999.1 ,9.689 ,0.037 ,41.164 ,1.519 ,5.129 ,0.034 ,1525.704 ,51.721 
2,0.167-0.446,58195.8 ,9.910 ,0.049 ,33.581 ,1.645 ,5.315 ,0.031 ,1285.389 ,40.133 
2,0.167-0.446,58359.5 ,9.665 ,0.035 ,42.051 ,1.458 ,5.220 ,0.027 ,1402.208 ,38.327 
2,0.167-0.446,58560.1 ,9.873 ,0.041 ,34.734 ,1.433 ,5.358 ,0.033 ,1235.635 ,40.930 
2,0.167-0.446,58723.8 ,9.518 ,0.031 ,48.153 ,1.498 ,5.132 ,0.028 ,1521.837 ,42.611 
2,0.167-0.446,58926.5 ,9.515 ,0.026 ,48.291 ,1.272 ,5.120 ,0.034 ,1538.593 ,52.483 
2,0.167-0.446,59089.5 ,9.665 ,0.037 ,42.078 ,1.553 ,5.339 ,0.028 ,1256.608 ,35.484 
2,0.167-0.446,59291.2 ,9.446 ,0.040 ,51.471 ,2.069 ,5.048 ,0.030 ,1643.881 ,48.659 
2,0.167-0.446,59455.0 ,9.618 ,0.034 ,43.930 ,1.505 ,5.391 ,0.030 ,1198.000 ,35.441 
12,0.546-0.852,56736.4 ,9.224 ,0.031 ,63.148 ,1.933 ,6.087 ,0.013 ,631.279 ,8.304 
12,0.546-0.852,56918.4 ,9.119 ,0.032 ,69.587 ,2.222 ,6.097 ,0.012 ,625.406 ,7.728 
12,0.546-0.852,57100.8 ,9.231 ,0.039 ,62.715 ,2.456 ,6.068 ,0.013 ,642.651 ,8.651 
12,0.546-0.852,57278.1 ,9.345 ,0.038 ,56.475 ,2.151 ,6.080 ,0.013 ,635.609 ,8.157 
12,0.546-0.852,57465.0 ,9.274 ,0.036 ,60.311 ,2.171 ,6.048 ,0.014 ,654.320 ,8.923 
12,0.546-0.852,57636.7 ,9.101 ,0.036 ,70.755 ,2.524 ,6.184 ,0.014 ,577.152 ,8.128 
12,0.546-0.852,57829.7 ,9.413 ,0.048 ,53.043 ,2.537 ,6.079 ,0.015 ,635.658 ,9.429 
12,0.546-0.852,57999.6 ,9.259 ,0.037 ,61.153 ,2.281 ,6.172 ,0.013 ,583.535 ,7.362 
12,0.546-0.852,58196.3 ,9.158 ,0.032 ,67.136 ,2.171 ,6.048 ,0.013 ,654.421 ,8.780 
12,0.546-0.852,58360.2 ,9.189 ,0.036 ,65.207 ,2.342 ,6.199 ,0.013 ,569.364 ,7.402 
12,0.546-0.852,58560.5 ,9.209 ,0.037 ,64.038 ,2.363 ,6.171 ,0.014 ,584.023 ,8.410 
12,0.546-0.852,58724.3 ,8.975 ,0.027 ,79.395 ,2.117 ,6.206 ,0.013 ,565.575 ,7.400 
12,0.546-0.852,58927.2 ,9.146 ,0.031 ,67.883 ,2.091 ,6.084 ,0.014 ,633.272 ,8.676 
