ID_1,Name,Type,Period,Period_sig,amp,amp_sig,Frac_amp_1,Slope,Slope_sig,R^2,W1_mean,W1_sig,W2_mean,W2_sig,W2_delta,SD/sig,W4,W4_sig,Dis,Dis_err,Rad,Tdust,logLbol,logMclump,logNH2,Fmax,Fmin,Var,N,ref
26,1.147-0.124,SL,2264.1 ,240.9 ,0.040 ,0.007 ,0.037 ,-2.37E-05,6.33E-06,0.62 ,10.346 ,0.192 ,6.974 ,0.079 ,0.157 ,1.557 ,--,--,3.72 ,0.26 ,--,--,--,--,--,10.0 ,2.6 ,3.8 ,2,"M03,P05"
29,2.143+0.009,SL,3263.4 ,2704.4 ,-0.065 ,0.107 ,-0.058 ,-1.04E-04,1.29E-04,0.85 ,10.753 ,0.215 ,8.173 ,0.110 ,0.234 ,1.265 ,--,--,11.10 ,0.24 ,--,--,--,--,--,11.0 ,6.7 ,1.6 ,3,"M91,P05,MMB"
47,5.630-0.294,SL,2153.2 ,283.9 ,-0.032 ,0.008 ,-0.029 ,3.15E-05,7.81E-06,0.64 ,9.932 ,0.144 ,8.341 ,0.090 ,0.145 ,1.198 ,1.034 ,0.019 ,2.94 ,0.16 ,0.14 ,28.0 ,3.15 ,1.97 ,22.19 ,1.3 ,0.8 ,1.6 ,2,"MMB,B12B"
48,5.657+0.416,SL,1610.9 ,126.2 ,0.088 ,0.023 ,0.085 ,1.46E-04,2.05E-05,0.70 ,8.767 ,0.081 ,5.555 ,0.251 ,0.525 ,1.324 ,1.196 ,0.017 ,3.60 ,0.28 ,--,--,--,--,--,1.9 ,1.9 ,1.0 ,1,MMB
73,10.205-0.345,Line,--,--,--,--,--,-2.79E-04,8.32E-06,0.97 ,12.577 ,0.482 ,9.402 ,0.246 ,0.764 ,4.618 ,-1.016 ,--,4.83 ,0.23 ,0.91 ,26.0 ,4.64 ,3.31 ,22.66 ,1.3 ,1.3 ,1.0 ,1,MMB
89,10.958+0.022,SL,1693.1 ,157.9 ,0.012 ,0.004 ,0.011 ,3.31E-05,3.30E-06,0.90 ,10.744 ,0.142 ,8.239 ,0.047 ,0.092 ,1.331 ,-0.869 ,0.010 ,13.38 ,0.26 ,0.60 ,26.9 ,4.02 ,2.62 ,22.70 ,20.2 ,13.4 ,1.5 ,6,"S93,W97,S00,M03,MMB,S12"
91,11.109-0.114,SL,1559.3 ,21.7 ,-0.178 ,0.009 ,-0.151 ,1.00E-04,7.56E-06,0.81 ,11.867 ,0.406 ,7.924 ,0.162 ,0.649 ,4.936 ,1.736 ,0.040 ,12.43 ,0.26 ,0.62 ,15.8 ,2.84 ,3.01 ,22.80 ,26.0 ,6.9 ,3.8 ,3,"E07,MMB,S12"
117,13.713-0.083,SL,2155.2 ,131.5 ,0.039 ,0.005 ,0.036 ,5.02E-05,4.43E-06,0.88 ,11.209 ,0.180 ,7.671 ,0.064 ,0.177 ,1.795 ,--,--,3.85 ,0.21 ,0.76 ,23.4 ,3.72 ,2.83 ,22.42 ,12.6 ,3.4 ,3.7 ,3,"S00,MMB,S12"
129,15.094+0.192,Line,--,--,--,--,--,4.89E-04,3.36E-05,0.77 ,8.240 ,0.323 ,5.458 ,0.492 ,1.916 ,2.035 ,0.957 ,0.017 ,13.31 ,0.24 ,--,--,--,--,--,18.6 ,13.6 ,1.4 ,2,"MMB,S12"
131,15.665-0.499,SL,2458.8 ,237.0 ,-0.039 ,0.005 ,-0.036 ,7.95E-05,5.24E-06,0.96 ,12.250 ,0.337 ,9.230 ,0.082 ,0.225 ,1.904 ,1.369 ,0.020 ,4.89 ,0.24 ,--,19.4 ,--,--,22.85 ,47.7 ,33.0 ,1.4 ,5,"S00,P05,F10,MMB,S12"
133,16.302-0.196,Line,--,--,--,--,--,-1.94E-04,1.12E-05,0.66 ,10.254 ,0.241 ,6.888 ,0.206 ,0.807 ,3.716 ,1.228 ,0.022 ,3.80 ,0.36 ,0.16 ,21.7 ,2.61 ,1.81 ,21.99 ,8.1 ,8.1 ,1.0 ,1,S12
136,16.662-0.331,Sin,6000.0 ,3558.0 ,-0.095 ,0.087 ,-0.084 ,--,--,0.72 ,11.758 ,0.202 ,9.688 ,0.065 ,0.158 ,1.610 ,1.914 ,0.026 ,4.03 ,0.28 ,--,--,--,--,--,2.6 ,2.6 ,1.0 ,1,MMB
137,16.831+0.079,Sin,2875.4 ,839.5 ,-0.020 ,0.007 ,-0.018 ,--,--,0.63 ,10.465 ,0.145 ,8.967 ,0.064 ,0.060 ,1.094 ,1.550 ,0.018 ,3.83 ,0.31 ,1.38 ,22.9 ,4.27 ,3.50 ,22.45 ,4.4 ,2.7 ,1.6 ,2,"MMB,S12"
