ID_1,Name,type,W1_mean,W1_sig,W2_mean,W2_sig,W2_delta,SD/sig,W4,W4_sig,Dis,Rad,T_dust,L_bol,LogM,LogNH2,Fmax,Fmin,Var,Count,ref
2,0.167-0.446,Irregular,9.763 ,0.041 ,5.306 ,0.033 ,0.510 ,1.181 ,-0.174 ,0.023 ,2.84 ,--,--,--,--,--,4.4 ,4.4 ,1.0 ,1,MMB
37,3.442-0.348,Irregular,13.119 ,0.275 ,9.033 ,0.029 ,0.342 ,2.160 ,--,--,4.70 ,--,--,--,--,--,0.7 ,0.7 ,1.0 ,1,MMB
42,4.569-0.079,Irregular,12.371 ,0.217 ,10.470 ,0.050 ,0.414 ,2.077 ,3.339 ,0.043 ,2.94 ,--,--,--,--,--,0.6 ,0.6 ,1.0 ,1,MMB
44,4.676+0.276,Irregular,8.662 ,0.018 ,5.772 ,0.019 ,0.257 ,1.165 ,0.554 ,0.018 ,2.94 ,--,--,--,--,--,2.5 ,2.5 ,1.0 ,1,MMB
54,6.539-0.108,Irregular,10.750 ,0.088 ,8.455 ,0.019 ,0.229 ,1.970 ,0.656 ,0.024 ,12.56 ,--,--,--,--,--,0.5 ,0.5 ,1.0 ,1,MMB
55,6.588-0.192,Burst,10.995 ,0.062 ,9.312 ,0.024 ,0.143 ,1.455 ,3.205 ,0.040 ,2.95 ,--,--,--,--,--,7.7 ,7.7 ,1.0 ,1,MMB
66,8.832-0.028,Burst,12.316 ,0.318 ,8.578 ,0.018 ,0.568 ,2.249 ,1.805 ,0.022 ,4.79 ,0.01 ,21.2 ,0.00 ,-0.70 ,22.85 ,126.8 ,83.9 ,1.5 ,3,"MMB,F10,S12"
67,8.872-0.493,Irregular,7.036 ,0.037 ,3.458 ,0.030 ,1.794 ,1.319 ,-1.568 ,0.003 ,3.57 ,0.95 ,16.6 ,3.49 ,3.15 ,22.57 ,31.6 ,27.4 ,1.2 ,2,"MMB,S12"
77,10.323-0.160,Irregular,7.973 ,0.018 ,2.777 ,0.032 ,1.189 ,1.128 ,-6.477 ,--,12.43 ,1.46 ,32.1 ,5.43 ,3.32 ,22.78 ,223.8 ,90.4 ,2.5 ,4,"MMB,P05,S12,V11"
79,10.356-0.148,Irregular,11.924 ,0.113 ,9.081 ,0.016 ,0.501 ,1.687 ,--,--,3.84 ,0.83 ,22.9 ,4.11 ,3.14 ,22.69 ,1.2 ,1.2 ,1.0 ,1,MMB
86,10.724-0.334,Irregular,11.161 ,0.045 ,8.159 ,0.015 ,0.355 ,2.883 ,2.603 ,0.045 ,4.84 ,0.98 ,19.3 ,3.72 ,3.18 ,22.69 ,1.5 ,1.5 ,1.0 ,1,MMB
87,10.822-0.103,Drop,10.587 ,0.025 ,7.574 ,0.013 ,0.219 ,2.390 ,2.774 ,0.031 ,8.21 ,0.50 ,19.2 ,3.53 ,2.87 ,22.28 ,0.9 ,0.9 ,1.0 ,1,MMB
88,10.886+0.123,Irregular,7.199 ,0.037 ,4.503 ,0.037 ,1.604 ,1.234 ,-1.094 ,0.007 ,13.43 ,0.14 ,29.6 ,3.42 ,1.85 ,22.25 ,12.2 ,4.5 ,2.7 ,3,"MMB,S00,S12"
