ID_1,Name,W1_mean,W1_sig,W2_mean,W2_sig,W4,W4_sig,Rad,Tdust,logLbol,LogMclump,logNH2,Dis,Fmax,Fmin,Var,Count,ref
12,0.546-0.852,9.211 ,0.036 ,6.131 ,0.013 ,--,--,--,--,--,--,--,2.80 ,86.0 ,62.8 ,1.4 ,4,"MMB,C95B,M91,W97"
27,1.329+0.150,9.773 ,0.047 ,8.978 ,0.037 ,-0.797 ,0.017 ,--,--,--,--,--,3.72 ,1.6 ,1.0 ,1.6 ,2,"MMB,F10"
28,1.719-0.088,12.386 ,0.246 ,9.146 ,0.022 ,3.609 ,0.067 ,--,--,--,--,--,12.55 ,9.8 ,9.8 ,1.0 ,1,MMB
32,2.591-0.029,8.477 ,0.020 ,8.117 ,0.017 ,2.534 ,0.017 ,--,--,--,--,--,12.55 ,1.7 ,1.7 ,1.0 ,1,MMB
33,2.615+0.134,8.744 ,0.021 ,7.162 ,0.015 ,-1.818 ,0.006 ,--,--,--,--,--,7.95 ,1.1 ,1.1 ,1.0 ,1,MMB
50,5.885-0.393,6.747 ,0.030 ,1.976 ,0.025 ,-0.753 ,0.270 ,0.65 ,34.5 ,5.33 ,3.23 ,23.49 ,2.94 ,1.3 ,1.3 ,1.0 ,1,MMB
60,7.601-0.139,6.870 ,0.022 ,2.220 ,0.019 ,-0.240 ,0.016 ,1.23 ,25.4 ,4.37 ,3.34 ,22.19 ,8.08 ,8.1 ,8.1 ,1.0 ,1,MMB
68,9.215-0.202,13.157 ,0.265 ,9.778 ,0.029 ,--,--,1.25 ,16.3 ,3.71 ,3.58 ,22.90 ,3.82 ,9.2 ,9.2 ,1.0 ,1,MMB
76,10.320-0.259,11.418 ,0.054 ,8.230 ,0.014 ,1.432 ,0.040 ,1.04 ,--,--,--,--,3.79 ,9.0 ,8.0 ,1.1 ,3,"MMB,S99,S12"
78,10.342-0.142,11.161 ,0.088 ,8.400 ,0.025 ,-2.271 ,--,0.57 ,26.3 ,4.24 ,2.92 ,22.95 ,12.44 ,14.0 ,14.0 ,1.0 ,1,MMB
90,11.034+0.062,9.235 ,0.021 ,7.775 ,0.014 ,-1.489 ,0.010 ,0.34 ,29.9 ,3.81 ,2.21 ,22.41 ,13.41 ,0.9 ,0.7 ,1.3 ,3,"MMB,C95B,W97"
98,12.025-0.031,9.674 ,0.032 ,5.921 ,0.020 ,--,--,1.05 ,24.3 ,4.24 ,3.16 ,22.32 ,10.50 ,103.1 ,77.0 ,1.3 ,7,"MMB,C95B,M91,S00,S12,V11,W97"
106,12.526+0.016,8.786 ,0.017 ,6.038 ,0.016 ,1.499 ,0.024 ,0.57 ,20.5 ,3.90 ,3.26 ,22.30 ,3.85 ,4.0 ,3.3 ,1.2 ,2,"MMB,S12"
108,12.681-0.182,12.319 ,0.113 ,7.588 ,0.015 ,-0.943 ,0.025 ,1.74 ,22.6 ,4.73 ,3.76 ,23.05 ,3.91 ,544.0 ,306.0 ,1.8 ,6,"MMB,C95B,G04,M91,S12,V11"
121,14.390-0.020,10.217 ,0.034 ,8.738 ,0.021 ,0.565 ,0.023 ,0.12 ,31.3 ,3.02 ,1.61 ,21.87 ,12.27 ,4.4 ,4.4 ,1.0 ,1,MMB
127,14.991-0.121,7.923 ,0.017 ,7.276 ,0.013 ,1.407 ,0.019 ,1.87 ,20.8 ,4.33 ,3.66 ,22.33 ,3.87 ,6.6 ,6.6 ,1.0 ,1,MMB
145,18.073+0.077,9.978 ,0.032 ,6.003 ,0.018 ,--,--,0.48 ,26.3 ,3.56 ,2.36 ,22.05 ,3.73 ,6.3 ,6.0 ,1.1 ,2,"MMB,S12"
149,18.440+0.045,9.529 ,0.021 ,8.149 ,0.014 ,3.204 ,0.036 ,--,--,--,--,--,3.78 ,2.5 ,2.5 ,1.0 ,1,MMB
152,18.667+0.025,11.454 ,0.069 ,8.705 ,0.017 ,1.083 ,0.022 ,0.48 ,25.6 ,4.53 ,3.24 ,22.44 ,9.76 ,18.3 ,8.8 ,2.1 ,2,"MMB,S12"
169,19.612-0.134,10.069 ,0.045 ,9.006 ,0.031 ,0.715 ,0.039 ,0.57 ,26.8 ,4.25 ,2.87 ,22.67 ,4.15 ,18.0 ,8.6 ,2.1 ,5,"MMB,C95B,S00,S12,W97"
171,19.667+0.114,10.995 ,0.048 ,10.097 ,0.033 ,3.224 ,0.050 ,0.67 ,19.6 ,3.60 ,2.98 ,22.14 ,1.50 ,1.5 ,1.5 ,1.0 ,1,MMB
173,19.755-0.128,9.019 ,0.018 ,6.918 ,0.013 ,--,--,1.14 ,25.3 ,4.54 ,3.44 ,22.53 ,9.34 ,4.1 ,1.4 ,3.0 ,4,"MMB,F10,S14,S12"
192,23.010-0.410,11.592 ,0.084 ,7.060 ,0.014 ,0.072 ,0.017 ,2.09 ,20.9 ,4.65 ,3.89 ,23.11 ,4.68 ,585.0 ,188.5 ,3.1 ,9,"B15,C95B,E07,G04,M91,S02,S12,V08,Y19"
197,23.389+0.185,3.933 ,0.075 ,1.125 ,0.034 ,-2.327 ,0.006 ,0.64 ,20.2 ,4.08 ,3.02 ,22.71 ,4.90 ,39.1 ,19.3 ,2.0 ,4,"B15,S02,S12,Y19"
207,23.986-0.089,10.392 ,0.034 ,8.461 ,0.016 ,0.766 ,0.017 ,1.24 ,19.6 ,3.97 ,3.47 ,22.51 ,5.17 ,17.0 ,2.5 ,6.7 ,2,"B15,S00"
209,24.148-0.009,11.300 ,0.053 ,8.440 ,0.015 ,0.701 ,0.013 ,0.56 ,25.5 ,3.82 ,2.57 ,22.14 ,1.65 ,40.0 ,25.8 ,1.6 ,6,"B15,E07,S00,S02,S12,Y19"
216,24.790+0.083a,12.541 ,0.134 ,7.322 ,0.014 ,-0.412 ,0.017 ,1.23 ,26.5 ,5.17 ,3.88 ,23.42 ,6.06 ,129.0 ,58.5 ,2.2 ,6,"B15,C95B,M91,S02,S12,V11"
217,24.790+0.083b,12.541 ,0.134 ,7.322 ,0.014 ,-0.412 ,0.017 ,--,--,--,--,--,6.30 ,28.2 ,28.2 ,1.0 ,1,B15
218,24.790+0.084,12.531 ,0.131 ,7.322 ,0.014 ,-0.412 ,0.017 ,--,--,--,--,--,5.78 ,70.7 ,70.7 ,1.0 ,1,Y19
220,24.850+0.087,9.434 ,0.029 ,7.748 ,0.016 ,-0.572 ,--,0.59 ,33.9 ,4.62 ,2.61 ,22.16 ,6.39 ,21.0 ,13.8 ,1.5 ,4,"B15,C95B,S02,W97"
222,24.943+0.074,11.887 ,0.093 ,9.049 ,0.020 ,2.074 ,0.027 ,1.13 ,26.0 ,4.56 ,3.45 ,22.52 ,3.77 ,4.8 ,1.0 ,5.1 ,3,"B15,S12,Y19"
226,25.407-0.170,9.930 ,0.057 ,9.441 ,0.091 ,--,--,0.57 ,25.7 ,3.81 ,2.68 ,22.35 ,3.85 ,2.7 ,2.7 ,1.0 ,1,B15
231,25.650+1.049,7.339 ,0.017 ,1.199 ,0.024 ,-2.708 ,0.005 ,0.56 ,23.4 ,3.97 ,2.87 ,23.18 ,3.77 ,181.0 ,72.3 ,2.5 ,9,"B15,F10,S99,S00,S12,V95,V11,W97,Y19"
242,27.011-0.039,11.409 ,0.094 ,10.138 ,0.040 ,--,--,0.74 ,24.8 ,4.21 ,3.39 ,22.06 ,14.95 ,2.1 ,1.1 ,1.9 ,2,"B15,S12"
248,27.757+0.050,6.453 ,0.029 ,3.379 ,0.016 ,-0.423 ,0.018 ,0.83 ,18.9 ,3.69 ,3.09 ,22.57 ,8.36 ,1.8 ,1.8 ,1.0 ,1,B15
251,27.869-0.235,12.021 ,0.126 ,8.937 ,0.019 ,1.371 ,0.022 ,--,--,--,--,--,1.74 ,1.0 ,0.4 ,2.5 ,2,"B15,X08"
256,28.305-0.387,8.474 ,0.018 ,6.451 ,0.013 ,--,--,2.35 ,29.6 ,5.38 ,3.71 ,22.36 ,4.37 ,44.2 ,33.7 ,1.3 ,2,"B15,S12"
261,28.608+0.018,8.054 ,0.014 ,7.007 ,0.013 ,--,--,1.87 ,27.0 ,4.95 ,3.60 ,22.68 ,8.13 ,3.6 ,2.2 ,1.6 ,3,"B15,F10,Y19"
267,28.848-0.228,13.098 ,0.335 ,11.067 ,0.109 ,--,--,0.54 ,21.5 ,3.29 ,2.76 ,22.22 ,8.09 ,2.4 ,1.4 ,1.7 ,3,"B15,S02,S12"
271,29.863-0.044,6.691 ,0.020 ,2.659 ,0.014 ,-1.698 ,0.026 ,0.93 ,29.6 ,4.65 ,3.05 ,22.46 ,7.63 ,81.0 ,64.3 ,1.3 ,5,"B15,C95B,E07,S12,V11"
285,30.589-0.043,10.017 ,0.035 ,5.709 ,0.023 ,-0.434 ,0.022 ,0.73 ,25.3 ,4.05 ,2.88 ,22.90 ,10.38 ,7.5 ,4.5 ,1.7 ,5,"B15,C95B,S00,S02,Y19"
287,30.760-0.052,9.084 ,0.030 ,6.873 ,0.015 ,--,--,0.85 ,35.4 ,5.55 ,3.36 ,22.76 ,7.13 ,71.5 ,50.0 ,1.4 ,5,"B15,C95B,S00,S02,W97"
289,30.780+0.230,12.145 ,0.061 ,9.978 ,0.024 ,2.318 ,0.023 ,0.13 ,26.0 ,2.84 ,1.91 ,22.10 ,10.58 ,57.0 ,24.0 ,2.4 ,4,"B15,C95B,S02,S12"
290,30.788+0.204,12.544 ,0.093 ,8.432 ,0.017 ,1.064 ,0.023 ,0.65 ,20.9 ,3.87 ,3.14 ,22.92 ,4.80 ,23.0 ,8.4 ,2.7 ,6,"B15,C95B,E07,S02,S12,Y19"
293,30.818+0.273,8.180 ,0.018 ,5.195 ,0.024 ,-0.841 ,0.012 ,0.43 ,33.0 ,4.14 ,2.31 ,22.11 ,6.99 ,13.0 ,1.7 ,7.6 ,8,"B15,C95B,E07,M91,S00,S12,W97,Y19,"
300,30.980+0.216,9.667 ,0.026 ,6.653 ,0.014 ,1.639 ,0.033 ,0.80 ,21.2 ,3.68 ,3.05 ,22.45 ,6.79 ,2.4 ,0.2 ,10.3 ,3,"B15,S14,Y19"
304,31.122+0.063,12.069 ,0.098 ,9.658 ,0.024 ,2.441 ,0.051 ,0.13 ,26.3 ,2.84 ,1.97 ,22.03 ,10.31 ,2.9 ,2.9 ,1.0 ,1,B15
305,31.158+0.046,10.732 ,0.039 ,8.822 ,0.018 ,-0.182 ,0.025 ,0.45 ,22.2 ,3.27 ,2.50 ,22.56 ,10.26 ,4.4 ,2.0 ,2.2 ,3,"B15,S00,S12"
307,31.281+0.061,8.685 ,0.019 ,3.586 ,0.021 ,--,--,1.55 ,24.7 ,4.84 ,3.65 ,23.11 ,6.95 ,131.4 ,69.2 ,1.9 ,5,"B15,C95B,S02,V08,W97"
321,32.992+0.034,12.224 ,0.089 ,8.095 ,0.014 ,-0.056 ,0.012 ,1.48 ,26.2 ,4.85 ,3.52 ,22.68 ,5.17 ,27.0 ,7.6 ,3.6 ,6,"B15,F10,S99,S00,S12,Y19"
325,33.317-0.360,11.560 ,0.052 ,10.005 ,0.022 ,2.295 ,0.028 ,0.10 ,20.5 ,2.09 ,1.38 ,22.09 ,2.13 ,1.6 ,1.2 ,1.4 ,2,"B15,Y19"
336,34.257+0.153,8.162 ,0.014 ,2.165 ,0.010 ,--,--,0.44 ,29.2 ,4.79 ,3.23 ,23.92 ,9.78 ,32.0 ,16.8 ,1.9 ,5,"B15,C95B,C00,M91,S00"
340,34.757+0.025,9.782 ,0.021 ,5.767 ,0.019 ,-0.515 ,0.012 ,0.47 ,27.0 ,3.83 ,2.53 ,22.32 ,5.06 ,1.9 ,1.3 ,1.4 ,2,"B15,Y19"
362,36.918+0.483,10.246 ,0.022 ,8.107 ,0.013 ,0.160 ,0.013 ,0.70 ,22.5 ,4.20 ,3.18 ,22.19 ,14.10 ,1.5 ,1.2 ,1.3 ,4,"B15,P07,S12,Y19"
387,38.916-0.353,11.835 ,0.033 ,10.268 ,0.021 ,3.078 ,0.029 ,0.40 ,19.0 ,3.27 ,2.64 ,22.91 ,1.91 ,2.8 ,1.3 ,2.2 ,3,"B15,P07,S12"
399,41.121-0.107,8.236 ,0.022 ,5.245 ,0.024 ,0.675 ,0.019 ,--,22.1 ,--,--,22.11 ,2.44 ,1.1 ,0.7 ,1.6 ,4,"B15,P07,S12,Y19"
402,41.226-0.197,10.881 ,0.031 ,9.484 ,0.018 ,2.286 ,0.022 ,0.74 ,21.4 ,3.91 ,3.16 ,22.28 ,8.35 ,5.7 ,3.2 ,1.8 ,4,"B15,P07,S00,S12"
417,43.167-0.004,10.048 ,0.045 ,8.564 ,0.024 ,--,--,--,--,--,--,--,11.93 ,9.3 ,2.6 ,3.6 ,4,"B15,C95B,P07,P07"
424,44.310+0.041,10.229 ,0.021 ,8.814 ,0.014 ,-0.901 ,0.006 ,1.49 ,23.5 ,4.52 ,3.55 ,22.70 ,7.74 ,0.9 ,0.6 ,1.5 ,3,"B15,P07,S12"
430,45.473+0.134,9.157 ,0.021 ,7.236 ,0.013 ,--,--,1.67 ,33.2 ,5.46 ,3.59 ,22.64 ,6.83 ,15.0 ,5.5 ,2.7 ,5,"B15,C95B,M91,P07,S00"
